,Description,House_Type,Location,Price
134,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Apartment,Bay Nest Megamound Extension Mobil Road Lekki Phase 2 Lekki Lagos," ₦ 2,800,000/year "
135,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
136,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Banana Island Ikoyi Lagos," ₦ 14,550,000/year "
137,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment+ Bq,"Banana Island Road, Ikoyi Lagos"," ₦ 15,000,000/year "
138,4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," $ 125,000/year "
139,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,Gowon Estate Egbeda Alimosho Lagos," ₦ 2,000,000/year "
140,5 BEDROOM HOUSE FOR RENT,Semi Detached 5 Bedroom Duplex,Guzape Abuja," ₦ 13,000,000/year "
141,3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Guzape Abuja," ₦ 5,000,000/year "
142,3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Asokoro Abuja," $ 40,000/year "
143,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 7,000,000/year "
144,3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,"Kolapo Ishola Gra, Akobo Ibadan Oyo"," ₦ 2,000,000/year "
145,8 BEDROOM HOUSE FOR RENT,8 Bedroom Detached Duplex,Main Maitama Abuja," ₦ 60,000,000/year "
146,FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Bodija Ibadan Oyo," ₦ 600,000/year "
147,1 BEDROOM FLAT / APARTMENT FOR RENT,Mini Flat,Palmgroove Shomolu Lagos," ₦ 800,000/year "
148,3 BEDROOM FLAT / APARTMENT FOR RENT,Ground Floor 3 Bedroom Apartment + Bq,Parkview Estate Ikoyi Lagos," ₦ 7,000,000/year "
149,FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,"Isokan Estate, Akobo Ibadan Oyo"," ₦ 600,000/year "
150,FLAT / APARTMENT FOR RENT,Room Self Contain,"Awotan Area Apete, Ibadan Oyo"," ₦ 100,000/year "
151,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Old Ikoyi Lagos," ₦ 9,000,000/year "
152,4 BEDROOM FLAT / APARTMENT FOR RENT,Premium 4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," ₦ 12,000,000/year "
153,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex + Bq,"By Bera Estate, Chevron Lekki Lagos"," ₦ 5,000,000/year "
154,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
155,4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 16,000,000/year "
156,2 BEDROOM HOUSE FOR RENT,Blocks Of 2 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 5,500,000/year "
157,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
158,4 BEDROOM HOUSE FOR RENT,4 Bedroom Maisonette,Banana Island Ikoyi Lagos," ₦ 35,000,000/year "
159,6 BEDROOM HOUSE FOR RENT,6 Bedroom Detached Duplex,"Ecowas, Asokoro Abuja"," ₦ 40,000,000/year "
160,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Fully Detached Duplex,Secound Tollgate Lekki Phase 2 Lekki Lagos," ₦ 9,000,000/year "
161,5 BEDROOM HOUSE FOR RENT,Newly Built 5 Bedroom Semi Detached Duplex With Bq,Old Ikoyi Lagos," ₦ 20,000,000/year "
162,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Ikota Gra Lekki Lagos," ₦ 3,500,000/year "
163,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment With Bq,Old Ikoyi Lagos," ₦ 24,000,000/year "
164,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 12,000,000/year "
165,HOUSE FOR RENT,4 Bedroom Bungalow,Akala Express Ibadan Oyo," ₦ 1,000,000/year "
166,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Diplomatic Zone Guzape Abuja," ₦ 6,000,000/year "
167,8 BEDROOM HOUSE FOR RENT,8 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 25,000,000/year "
168,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"By National Assembly Qt, Apo Abuja"," ₦ 8,000,000/year "
169,FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,Fodacis Ibadan Oyo," ₦ 800,000/year "
170,FLAT / APARTMENT FOR RENT,Standard 3 Bedroom Flat,"Oke Ibukun Elebu, Ibadan Oyo"," ₦ 600,000/year "
171,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 8,000,000/year "
172,HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Phase 1, Lekki Lagos"," ₦ 7,000,000/year "
173,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Detached Duplex,Oral Estate Lekki Lagos," ₦ 7,000,000/year "
174,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex + Bq,Orchid Chevron Lekki Lagos," ₦ 5,500,000/year "
