Description,House_Type,Location,Price
6 BEDROOM HOUSE FOR RENT,6 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 40,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + Pool,Banana Island Ikoyi Lagos," ₦ 30,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 8,000,000/year "
2 BEDROOM HOUSE FOR RENT,Beautiful 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 3,500,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Ikate Lekki Lagos," ₦ 13,000,000/year "
4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 5,000,000/year "
2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Apartment,Bay Nest Megamound Extension Mobil Road Lekki Phase 2 Lekki Lagos," ₦ 2,800,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Banana Island Ikoyi Lagos," ₦ 14,550,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment+ Bq,"Banana Island Road, Ikoyi Lagos"," ₦ 15,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," $ 125,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,Gowon Estate Egbeda Alimosho Lagos," ₦ 2,000,000/year "
5 BEDROOM HOUSE FOR RENT,Semi Detached 5 Bedroom Duplex,Guzape Abuja," ₦ 13,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Guzape Abuja," ₦ 5,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Block Of Flats,Asokoro Abuja," $ 40,000/year "
5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 7,000,000/year "
3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,"Kolapo Ishola Gra, Akobo Ibadan Oyo"," ₦ 2,000,000/year "
8 BEDROOM HOUSE FOR RENT,8 Bedroom Detached Duplex,Main Maitama Abuja," ₦ 60,000,000/year "
FLAT / APARTMENT FOR RENT,2 Bedroom Flat,Bodija Ibadan Oyo," ₦ 600,000/year "
1 BEDROOM FLAT / APARTMENT FOR RENT,Mini Flat,Palmgroove Shomolu Lagos," ₦ 800,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,Ground Floor 3 Bedroom Apartment + Bq,Parkview Estate Ikoyi Lagos," ₦ 7,000,000/year "
FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Flat,"Isokan Estate, Akobo Ibadan Oyo"," ₦ 600,000/year "
FLAT / APARTMENT FOR RENT,Room Self Contain,"Awotan Area Apete, Ibadan Oyo"," ₦ 100,000/year "
3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Old Ikoyi Lagos," ₦ 9,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Premium 4 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos," ₦ 12,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex + Bq,"By Bera Estate, Chevron Lekki Lagos"," ₦ 5,000,000/year "
4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment + Bq,Old Ikoyi Lagos," ₦ 16,000,000/year "
2 BEDROOM HOUSE FOR RENT,Blocks Of 2 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 5,500,000/year "
